Q000463	1.A.A.1 = 1-16	16	7	1.A.A.1 1.A.A.2 1.A.A.3 1.A.A.4 1.A.A.5 1.A.A.6 1.A.A.7 1.A.A.8 1.A.A.9 1.A.A.10 1.A.A.11 1.A.A.12 1.A.A.13 1.A.A.14 1.A.A.15 1.A.A.16	@gap{1 line fragmentary} …… what he orders is faithfully executed, …… endowed with beauty in the @wTN{E-kur}, …… among the great gods, the great and august lord …… in the heavens, …… whose seat no other god ……! August ……, lord whose abode is the mountains, Father @wDN{Nanna} ……, …… fixes the months and the new moon according to a cord, establishes the year ……, …… life for the multitudes ……, …… who puts all the lands in order, …… who makes the @wWN{Tigris} and the @wWN{Euphrates} bring flowing water ……, …… fine grain ……, …… lush vegetation in the spacious land ……, @gap{1 line fragmentary} …… Lord @wRN{Išme-@wDN{Dagan}} …… @gap{1 line unclear} august …… bestowed upon Father @wDN{Nanna} by @wDN{An} and @wDN{Enlil} …….
Q000463	1.A.A.17 = 17-22	6	12	1.A.A.17 1.A.A.18 1.A.A.19 1.A.A.20 1.A.A.21 1.A.A.22	After you have extended yourself in the bright ……, the daylight ……, after you have established …… on earth, on the day of the disappearance of the moon, as you have completed the month, you summon the people, lord; and then in the nether world you decree great judgments, you decide sublime verdicts. @wDN{Enki} and @wDN{Ninki}, the great lords, the great princes, the lords who determine fates, await your utterances, father; they …… the newborn moon.
Q000463	1.A.A.23 = 23-30	8	12	1.A.A.23 1.A.A.24 1.A.A.25 1.A.A.26 1.A.A.27 1.A.A.28 1.A.A.29 1.A.A.30	Prince, you place justice in every mouth, and make propriety resplendent. Daily you make hearts content, daily you determine fates appropriately, daily your refulgence ……. You brighten the night sky in the broad firmament, and illuminate the darkness. The @wDN{Anuna} gods stand by with prayers and supplications at your rising. The sweet sight of your resplendent crescent, full of loveliness, brings joy to the great lady of the @wTN{Ki-ur}, Mother @wDN{Ninlil}, in ……, and the true and august lady, the good cow, the leader …… prays …… in the @wTN{E-ŋa-ŋiš-šua}, her delightful residence, the awesome palace.
Q000463	1.A.A.31 = 31	1	1	1.A.A.31	@fsux{Sa-gida}.
Q000463	1.A.B.32 = 32	1	10	1.A.B.32	Brightest lord, may you make @wRN{Išme-@wDN{Dagan}} …… exert superior strength.
Q000463	1.A.B.33 = 33	1	4	1.A.B.33	@fsux{Ŋišgiŋal} of the @fsux{sa-gida}.
Q000463	1.A.C.34 = 34-35	2	6	1.A.C.34 1.A.C.35	Lord, great and august crown of the sky ……. …… @wDN{Ninlil} ……. @gap{unknown no. of lines missing}
Q000463	1.B.D.1 = 1-8	8	11	1.B.D.1 1.B.D.2 1.B.D.3 1.B.D.4 1.B.D.5 1.B.D.6 1.B.D.7 1.B.D.8	…… heart ……. …… his august name …… king ……. You have been assigned divine powers from the divine powers by Lord @wDN{Nunamnir}. He has presented you with the capacity to determine fates, the role of a supreme deity. He has elevated you; the great lord, @wDN{Enlil}, has made you one of the princes. With the rightful tiara and headdress, he has made you glorious on the holy august dais. He has bestowed upon you the guardianship of all the countries teeming like fish. The prince of all the foreign countries …… like a shepherd.
Q000463	1.B.D.9 = 9-25	17	10	1.B.D.9 1.B.D.10 1.B.D.11 1.B.D.12 1.B.D.13 1.B.D.14 1.B.D.15 1.B.D.16 1.B.D.17 1.B.D.18 1.B.D.19 1.B.D.20 1.B.D.21 1.B.D.22 1.B.D.23 1.B.D.24 1.B.D.25	Except you, no god …… in the entirety of heaven and earth. Bright countenance in the holy sky, you …… like daylight. The Land rejoices over the harvest, the great festival that is full of delight, and the black-headed people look to you as to their father. Great lord, you hearken to anyone who approaches you for succour; you are the beloved of the Land. @wSN{Urim}, the great cosmic bond of @wGN{Sumer}, the city that has grown as high as the heavens, joyfully becomes of one accord for you in the sanctuary built with extispicy, in your delightful cattle-pen. …… @wRN{Išme-@wDN{Dagan}} ……, may the breed-bull and the good ox mount holy cows ……, may they multiply vigorously for you. May premium …… and premium milk, the milk of your holy dining room …… become abundant there. @gap{2 lines fragmentary} May he care properly for …… divine plans for you. May he …… for you. …… your …… filled with gold, the lady …… @wDN{Ningal}, on its …… appear as brightly as daylight ……. May he …… @wRN{Išme-@wDN{Dagan}} …….
Q000463	1.B.D.26 = 26	1	1	1.B.D.26	@fsux{Sa-ŋara}.
